PDT000120904.2|SAMN04578900||Escherichia coli||2015C-3515|Pathogen: clinical or host-associated	SRR3290739
PDT000196656.2|SAMN04396048||Escherichia coli|||Pathogen: environmental/food/other	SRR3160319
PDT000003955.2|SAMN02442820||Escherichia coli||AZ-TG60783|Pathogen: environmental/food/other	SRR1185784
PDT000340985.1|SAMN09545062||Escherichia coli||FSIS11810888|Pathogen: environmental/food/other	SRR7468654
PDT000104639.2|SAMN04448130||Escherichia coli||AZ-TG-515-1A|Pathogen: environmental/food/other	SRR3136823
PDT000218061.2|SAMN07212961||Escherichia coli|||Pathogen: clinical or host-associated	SRR5666514
PDT000129850.2|SAMEA3529378||Escherichia coli|O37:K-:H5||Generic	ERR1010280
PDT000150311.2|SAMN05596346||Escherichia coli||MOD1-EC3583|Pathogen: environmental/food/other	SRR4294980
PDT000241656.2|SAMN07665806||Escherichia coli||FSIS11704313|Pathogen: environmental/food/other	SRR6051634
PDT000266406.2|SAMN08051578||Escherichia coli||FSIS11705726|Pathogen: environmental/food/other	SRR6314313
PDT000213202.2|SAMN07169276||Escherichia coli||03-3357|Pathogen: clinical or host-associated	SRR5605995
PDT000133751.2|SAMN05199848||Escherichia coli||PNUSAE003257|Pathogen: clinical or host-associated	SRR3642538
PDT000300547.1|SAMN03569084|GCA_003018295.1|Escherichia coli||89-3506|Pathogen: clinical or host-associated	
PDT000097333.2|SAMN04148295||Escherichia coli||TX-ACB1500629|Pathogen: clinical or host-associated	SRR2993380
PDT000387575.1|SAMN10163079||Escherichia coli||PNUSAE018998|Pathogen: clinical or host-associated	SRR7949689
PDT000235280.2|SAMN07508563||Escherichia coli||PNUSAE008812|Pathogen: clinical or host-associated	SRR5951629
PDT000254238.2|SAMN07809232||Escherichia coli||PNUSAE009771|Pathogen: clinical or host-associated	SRR6194927
PDT000359236.1|SAMN09779922||Escherichia coli||PNUSAE016590|Pathogen: clinical or host-associated	SRR7656240
PDT000283342.2|SAMN08447646||Escherichia coli||PNUSAE011607|Pathogen: clinical or host-associated	SRR6658319
PDT000081123.3|SAMN03968896||Escherichia coli||PNUSAE001183|Pathogen: clinical or host-associated	SRR2155434
PDT000360978.1|SAMEA4811071|GCA_900499355.1|Escherichia coli|||Generic	
PDT000025502.2|SAMN02628601||Escherichia coli||AZ-TG73387|Pathogen: environmental/food/other	SRR1220764
PDT000129848.2|SAMEA3529298||Escherichia coli|O53:H51||Generic	ERR1010278
PDT000046607.1|SAMN03256248|GCA_000812765.1|Escherichia coli||EC2_2|Microbe	
PDT000026907.2|SAMN02628608||Escherichia coli||AZ-TG73415|Pathogen: environmental/food/other	SRR1263925
PDT000270492.1|SAMN08104569|GCA_002810695.1|Escherichia coli||KCJK6238|Microbe	
PDT000114996.2|SAMN04558433||Escherichia coli|E. coli O2:H45|2015EL-1224CT1|Pathogen: clinical or host-associated	SRR3231643
PDT000081259.1|SAMN03265485|GCA_001264195.1|Escherichia coli||FE95160|Pathogen: clinical or host-associated	
PDT000273038.2|SAMN08165355||Escherichia coli||PNUSAE006356|Pathogen: clinical or host-associated	SRR6384996
PDT000240678.2|SAMN07645996||Escherichia coli||FSIS11704224|Pathogen: environmental/food/other	SRR6039950
PDT000008697.2|SAMN00792436|GCA_000194575.2|Escherichia coli STEC_7v||STEC_7v|MIGS Cultured Bacterial/Archaeal	
PDT000378566.1|SAMN10075530||Escherichia coli|Escherichia coli|591878|Pathogen: environmental/food/other	SRR7850029
PDT000008713.2|SAMN02436330|GCA_000194175.2|Escherichia coli 1.2741||1.2741|Generic	
PDT000132549.1|SAMN03366859|GCA_001650555.1|Escherichia coli||ED1914|Microbe	
PDT000008595.2|SAMN02595407|GCA_000190955.1|Escherichia coli M863||M863|Generic	
PDT000252186.1|SAMN05504950|GCA_002531355.1|Escherichia coli||OLC1334|Microbe	
PDT000174362.1|SAMN04420241|GCA_001912235.1|Escherichia coli||600555|Pathogen: clinical or host-associated	
PDT000174377.1|SAMN04421843|GCA_001912525.1|Escherichia coli||601028|Pathogen: clinical or host-associated	
PDT000174311.1|SAMN04420289|GCA_001911145.1|Escherichia coli||602720|Pathogen: clinical or host-associated	
PDT000155660.2|SAMN05966625||Escherichia coli|Escherichia coli|271298|Pathogen: clinical or host-associated	SRR4788119
PDT000174304.1|SAMN04420250|GCA_001910995.1|Escherichia coli||600035|Pathogen: clinical or host-associated	
PDT000174380.1|SAMN04420125|GCA_001912565.1|Escherichia coli||700324|Pathogen: clinical or host-associated	
